date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,param_source
2026-02-09,000001.SH,4103.54,4123.16,4093.06,4123.09,572632582.0,negative_bubble,0.7198544100055071,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-02-10,000001.SH,4127.77,4134.34,4117.56,4128.37,524620969.0,negative_bubble,0.7221782965689298,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-02-11,000001.SH,4124.43,4142.56,4122.43,4131.99,500685278.0,negative_bubble,0.7234405964430616,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-02-12,000001.SH,4136.99,4140.59,4124.13,4134.02,529370116.0,negative_bubble,0.7243625696168685,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-02-13,000001.SH,4115.92,4123.84,4079.77,4082.07,500799472.0,negative_bubble,0.725586062346405,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-02-24,000001.SH,4129.13,4131.55,4105.94,4117.41,566322249.0,negative_bubble,0.59986568369578,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-02-25,000001.SH,4123.78,4167.84,4122.7,4147.23,724787214.0,negative_bubble,0.6030452206165295,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-02-26,000001.SH,4151.07,4152.19,4127.15,4146.63,651702826.0,negative_bubble,0.6056642376977369,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-02-27,000001.SH,4128.9,4166.23,4128.36,4162.88,682047646.0,negative_bubble,0.607289036611254,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-03-02,000001.SH,4151.8,4188.77,4131.37,4182.59,861579218.0,negative_bubble,0.6086178412810073,强抄底信号 (Strong Buy),hold,1.0,default_cli
2026-03-03,000001.SH,4189.41,4197.23,4116.01,4122.68,921139170.0,negative_bubble,0.6088420963716188,强抄底信号 (Strong Buy),hold,1.0,default_cli
