symbol,name,window_id,signal_date,market_env,wy_phase,wy_direction,wy_confidence,wy_signal_type,wy_bc,wy_spring,factor_signal,fwd_return,fwd_max_gain,fwd_max_dd,bench_return,excess_return
600351.SH,亚宝药业,16,2024-09-13,bear_bottom,accumulation,观察等待,C,spring,True,True,BUY,15.81,33.71,2.86,21.64,-5.83
600351.SH,亚宝药业,17,2024-10-08,crash_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,-9.1,-0.3,14.18,-7.69,-1.41
600351.SH,亚宝药业,18,2025-01-13,structural_low,accumulation,观察等待,C,spring,True,True,BUY,6.53,9.62,8.08,3.48,3.05
600351.SH,亚宝药业,19,2025-03-04,bull_start,accumulation,空仓观望,C,accumulation,True,False,HOLD,3.3,6.6,11.72,3.44,-0.14
600351.SH,亚宝药业,20,2025-04-07,event_bottom,accumulation,观察等待,C,spring,True,True,BUY,31.22,53.09,5.64,17.08,14.14
600329.SH,达仁堂,1,2018-10-19,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,7.6,9.99,14.62,21.72,-14.12
600329.SH,达仁堂,2,2019-01-04,rebound_start,markdown,空仓观望,C,markdown,True,False,HOLD,18.63,46.45,2.66,18.05,0.58
600329.SH,达仁堂,3,2019-08-06,bear_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,7.28,20.43,0.63,10.9,-3.62
600329.SH,达仁堂,4,2020-03-23,event_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,57.06,67.76,-0.57,35.28,21.78
600329.SH,达仁堂,5,2020-07-01,bull_start,markup,持有观察,C,markup,True,False,AVOID,-9.03,15.32,11.34,15.55,-24.58
600329.SH,达仁堂,6,2021-03-09,structural_low,distribution,空仓观望,C,distribution,True,False,HOLD,63.7,64.02,2.73,2.78,60.92
600329.SH,达仁堂,7,2021-07-28,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,0.54,30.69,12.9,6.19,-5.65
